sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.48,1,0.0592793,0.306887,-22.0807,12.4569,-0.06784,-0.03653,0.082,39.36,3.08739,0.00193262,0.00217891,-0.0296375,0.0229475,-0.00420596,0.0579454,0.0384401,-0.00568939,-0.00405159,0.0141565,-0.0146143,-0.00278882,0.00460312,0.00184296,-0.00407751,-0.00696349,-0.00569637,0.00912667,0.00550217,-0.00946813,0.00425296
1,0.48,2,-20.3579,20.7298,-42.4979,32.8798,-0.13072,-0.09842,0.073,35.04,0.96288,0.00102462,0.0021976,0.00226257,0.0234177,-0.00740112,0.0562176,0.0271602,-0.000857173,-0.000833299,0.01584,-0.0137021,-0.00291942,0.00683085,0.00213352,-0.00482438,-0.00752959,-0.00543475,0.0106965,0.00594724,-0.00923025,0.00263345
1,0.48,3,-20.3708,-20.1124,-42.5108,-7.96244,-0.13003,0.02435,0.103,49.44,2.86595,0.00254638,0.00131333,-0.0758606,0.033552,0.00222352,0.0553725,0.0307148,-0.00963807,0.00756404,0.0130808,-0.0138057,-0.00409981,0.00377169,0.00485273,-0.00396677,-0.00775477,-0.00683155,0.0107244,0.00637167,-0.00913213,0.00242618
1,0.48,4,20.4765,-20.11,-1.66348,-7.96002,-0.0052,0.02475,0.105,50.4,1.86351,0.00269076,0.00117689,-0.0611066,0.0273764,0.00397733,0.0604346,0.0519534,-0.0134947,-0.00999929,0.00953567,-0.0133107,-0.00355896,0.00470561,0.00369962,-0.00297584,-0.00724835,-0.00677725,0.0113108,0.00394271,-0.00943107,0.00278648
1,0.48,5,20.4886,20.7264,-1.65143,32.8764,-0.00522,-0.0981,0.088,42.24,0.97719,0.00152179,0.00212671,0.0217376,0.0144529,-0.00412543,0.0602102,0.0514647,-0.00410682,-0.00797149,0.0151341,-0.0156348,-0.002107,0.00478035,0.00418758,-0.00542382,-0.00701685,-0.00706155,0.0100419,0.0054527,-0.00871921,0.00153377
1,0.62,1,0.058775,0.307089,-22.0812,12.4571,-0.06784,-0.03653,0.022,42.9,0.746488,0.000489719,0.000482281,-0.0111887,0.00561786,-0.00104925,0.0142454,0.00943173,-0.00140051,-0.000997309,0.0034797,-0.00359737,-0.000686493,0.00113308,0.000453652,-0.00100367,-0.00171408,-0.00140218,0.00224657,0.00135438,-0.00233062,0.00104689
1,0.62,2,-20.3589,20.7305,-42.4989,32.8805,-0.13072,-0.09842,0.018,35.1,0.222883,0.000294069,0.000513154,-0.00331868,0.00561908,-0.00185302,0.0137918,0.0066262,-0.000211406,-0.000204936,0.00389402,-0.00337285,-0.000718688,0.00168146,0.000525172,-0.00118749,-0.0018534,-0.00133778,0.00263299,0.00146393,-0.00227206,0.00064824
1,0.62,3,-20.3718,-20.1127,-42.5118,-7.96271,-0.13003,0.02435,0.028,54.6,0.693014,0.000663282,0.000259984,-0.0228298,0.00828383,0.000459732,0.0136401,0.00750132,-0.00237234,0.00186173,0.0032151,-0.00339836,-0.00100917,0.000928423,0.00119452,-0.000976392,-0.00190887,-0.00168161,0.00263986,0.00156841,-0.00224791,0.000597225
1,0.62,4,20.4765,-20.1103,-1.66351,-7.96029,-0.0052,0.02475,0.028,54.6,0.44604,0.000664347,0.000216068,-0.0190713,0.00673954,0.000980399,0.0148861,0.0127867,-0.00332176,-0.00246137,0.00234241,-0.00327648,-0.000876049,0.00115831,0.000910676,-0.000732512,-0.00178421,-0.00166825,0.00278419,0.000970513,-0.00232149,0.000685909
1,0.62,5,20.4885,20.7271,-1.65146,32.8771,-0.00522,-0.0981,0.021,40.95,0.226326,0.000375434,0.000470758,0.0016026,0.00355329,-0.000957402,0.0147749,0.0126664,-0.00101082,-0.00196219,0.00372024,-0.00384855,-0.000518652,0.00117671,0.00103079,-0.00133509,-0.00172719,-0.00173822,0.00247184,0.0013422,-0.00214626,0.000377554
