sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1,1,0.228744,-5.14649,-21.9113,7.00351,-0.06784,-0.03653,0.099,99,-0.155349,0.000260668,0.000416329,-0.0871413,-0.0432576,-0.015988,0.0144025,-0.0257457,-0.0141478,-0.00520401,-0.00422508,0.00316438,0.00119871,0.00212237,0.00422373,0.00566864,0.000570626,0.00644292,-0.00124852,-0.0049148,-0.00183516,0.00281703
1,1,2,-19.9064,14.9989,-42.0464,27.1489,-0.13072,-0.09842,0.115,115,1.43175,0.00185538,0.00260445,-0.0852192,-0.0756195,0.0122271,0.0129571,-0.0311594,-0.0105241,-0.00636683,-0.00231554,0.00354195,0.000796832,0.00097364,0.00480685,0.00541575,-0.00147197,0.00589294,-0.000073,-0.00505067,-0.000626949,0.000462404
1,1,3,-19.9347,-25.382,-42.0747,-13.232,-0.13003,0.02435,0.115,115,1.77555,-0.00098692,-0.000947979,-0.0942312,-0.0491536,-0.0431839,0.0129924,-0.0293015,-0.0184398,0.00142974,-0.00348073,0.00321105,0.00031609,0.0018211,0.00392737,0.00509211,-0.00119603,0.00441964,-0.000196469,-0.00418187,-0.000795727,0.00191309
1,1,4,20.3717,-25.3362,-1.76832,-13.1862,-0.0052,0.02475,0.098,98,-0.0456102,-0.000569195,-0.000856143,-0.0858287,-0.0157133,-0.0403744,0.0162473,-0.0208946,-0.0219965,-0.00787009,-0.00306881,0.0044,0.00234159,0.000795701,0.00508816,0.00683632,-0.000636528,0.00503201,0.00090116,-0.004291,-0.00212617,0.00069332
1,1,5,20.3834,15.0427,-1.75662,27.1927,-0.00522,-0.0981,0.085,85,-0.0235102,-0.000565202,-0.00111411,-0.0790382,-0.0201915,0.0196687,0.0136503,-0.0205094,-0.0123345,-0.00850285,-0.00207178,0.00404724,0.0022442,0.00199469,0.0047863,0.00589537,-0.00106844,0.00504368,-0.00135105,-0.00446523,-0.00187623,0.000530689
1,1.25,1,0.24524,-2.8549,-21.8948,9.2951,-0.06784,-0.03653,0.078,97.5,-0.134554,0.000222473,0.000316647,-0.0699138,-0.0342943,-0.00829295,0.0112932,-0.020033,-0.00885007,-0.00389347,-0.00238888,0.00141675,0.000859829,0.0018854,0.00336922,0.00455261,0.000393301,0.00515663,-0.00100691,-0.00390715,-0.00143569,0.00225466
1,1.25,2,-19.8787,17.2679,-42.0187,29.4179,-0.13072,-0.09842,0.087,108.75,1.10497,0.00151611,0.00202843,-0.0650157,-0.0573499,0.0122751,0.00961398,-0.0239236,-0.00546397,-0.0044581,-0.000970287,0.00176362,0.000454459,0.000994457,0.0038241,0.00436187,-0.00124262,0.00473446,-0.000061,-0.00400574,-0.000481188,0.000379265
1,1.25,3,-19.8984,-23.055,-42.0384,-10.905,-0.13003,0.02435,0.091,113.75,1.38686,-0.000688507,-0.000781892,-0.0781168,-0.0386417,-0.0286737,0.0105085,-0.0222748,-0.0128173,0.0015904,-0.00166335,0.00136275,0.00006,0.00159887,0.00313612,0.004112,-0.00103976,0.00356026,-0.000158825,-0.00329573,-0.000612863,0.00153525
1,1.25,4,20.3729,-23.0138,-1.76706,-10.8638,-0.0052,0.02475,0.078,97.5,-0.041002,-0.00044585,-0.000634926,-0.0715553,-0.0142614,-0.0266676,0.0131516,-0.0166702,-0.0155741,-0.00628069,-0.00133294,0.00233435,0.00187011,0.000804137,0.0040662,0.00547054,-0.000589965,0.0040225,0.000718142,-0.0034315,-0.00167374,0.000567156
1,1.25,5,20.3842,17.3071,-1.75577,29.4571,-0.00522,-0.0981,0.066,82.5,-0.0335275,-0.00043816,-0.000903658,-0.0600517,-0.0176646,0.0178767,0.0102014,-0.0163684,-0.00682672,-0.006768,-0.000776235,0.00218768,0.00179151,0.00182285,0.0038218,0.004708,-0.00092893,0.00403894,-0.00108071,-0.0035715,-0.00149321,0.000440981
1,1.55,1,0.2647,-0.110926,-21.8753,12.0391,-0.06784,-0.03653,0.064,99.2,-0.134488,0.000268,0.00026309,-0.059384,-0.0275393,0.000134496,0.00890621,-0.0156868,-0.00353675,-0.00276716,0.000196818,-0.000936084,0.000601975,0.00171388,0.00271553,0.00368004,0.000275447,0.00416724,-0.000840958,-0.003127,-0.00112253,0.00182478
1,1.55,2,-19.8461,19.9858,-41.9861,32.1358,-0.13072,-0.09842,0.069,106.95,0.825061,0.00124886,0.00158176,-0.0523809,-0.0435734,0.0147782,0.00682034,-0.0184444,-0.000267205,-0.0027861,0.00121757,-0.000599139,0.000201175,0.00100085,0.00307287,0.00355234,-0.00103571,0.00383373,-0.00009,-0.00318873,-0.000342493,0.000313853
1,1.55,3,-19.8555,-20.2696,-41.9955,-8.11958,-0.13003,0.02435,0.074,114.7,1.08174,-0.000478221,-0.000663194,-0.0682413,-0.0308462,-0.0149706,0.0088343,-0.0169647,-0.00730456,0.00191615,0.000947666,-0.0011087,-0.000136942,0.00144217,0.0025381,0.00335237,-0.000899387,0.00289262,-0.00013856,-0.00261275,-0.000469221,0.00125959
