sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.75,1,-0.142691,1.64101,-22.2827,13.791,-0.06784,-0.03653,0.13,97.5,-0.00596696,-0.001117,0.000920525,-0.0408723,0.0100123,-0.115522,0.00533729,-0.0348934,-0.0100638,-0.00592359,0.00444432,0.00127226,-0.00222376,0.0088868,0.00443436,0.00705237,-0.00030388,-0.0058619,0.00137794,-0.0108183,-0.000575289,0.00118819
1,0.75,2,-20.7488,22.207,-42.8888,34.357,-0.13072,-0.09842,0.131,98.25,0.20916,-0.00140958,-0.000035,-0.0315873,0.0397463,-0.107442,0.000637684,-0.0476403,-0.00538255,-0.0079721,0.00292217,0.0021591,-0.00247209,0.00846377,0.00341144,0.00614435,0.000803109,-0.00599089,0.00131855,-0.0111592,0.000623291,0.00290936
1,0.75,3,-20.7806,-18.9863,-42.9206,-6.83632,-0.13003,0.02435,0.123,92.25,-0.470288,-0.00127405,0.00002,-0.0629523,0.0118493,-0.0958555,0.000876451,-0.0437795,-0.00999765,-0.00437108,0.00284621,0.000088,-0.0027705,0.0110732,0.0035459,0.00570286,0.000707362,-0.00710481,0.001439,-0.0106874,0.000299499,0.00192013
1,0.75,4,20.4642,-18.9592,-1.67584,-6.80923,-0.0052,0.02475,0.127,95.25,-0.649126,-0.000805174,0.000758017,-0.0532481,-0.000167175,-0.111636,0.00386692,-0.0234453,-0.00997705,-0.00669896,0.00278878,-0.000821596,-0.00153469,0.00984752,0.00513144,0.00744286,0.00121128,-0.00661103,0.000277986,-0.0099827,-0.000127974,0.00228351
1,0.75,5,20.4788,22.2245,-1.66115,34.3745,-0.00522,-0.0981,0.132,99,0.317192,-0.00054275,0.00112599,-0.0182114,-0.0019701,-0.124611,0.00387619,-0.0231547,-0.00720192,-0.00593447,0.00318078,0.000974665,-0.00139796,0.00789998,0.00542992,0.00745806,-0.000024,-0.00604875,0.000941121,-0.0116847,0.000033,0.00228565
1,0.8,1,-0.144332,1.41971,-22.2843,13.5697,-0.06784,-0.03653,0.113,90.4,0.0280406,-0.00112645,0.000732555,-0.0409279,0.00272047,-0.0985524,0.00606186,-0.0327324,-0.0094572,-0.00553733,0.00416927,0.0011858,-0.00207982,0.00833662,0.0041582,0.00661128,-0.000284936,-0.00549479,0.00128909,-0.0101416,-0.000549407,0.00111048
1,0.8,2,-20.7514,21.9878,-42.8914,34.1378,-0.13072,-0.09842,0.107,85.6,0.209523,-0.00136577,-0.000007,-0.0352945,0.0240679,-0.0848415,0.00162421,-0.0446976,-0.00504858,-0.0074366,0.00274637,0.00201098,-0.00230674,0.00794261,0.0032001,0.00576024,0.000751155,-0.00561417,0.00123547,-0.0104621,0.000572493,0.00272605
1,0.8,3,-20.784,-19.2112,-42.924,-7.06116,-0.13003,0.02435,0.112,89.6,-0.394696,-0.00121405,0.000282585,-0.0587673,-0.0017115,-0.086228,0.00194567,-0.041084,-0.00941588,-0.00406753,0.00266747,0.00008,-0.00258797,0.0103839,0.00332722,0.00534667,0.000662684,-0.00665949,0.00134664,-0.0100178,0.000270742,0.00179654
1,0.8,4,20.4638,-19.1835,-1.67619,-7.03353,-0.0052,0.02475,0.116,92.8,-0.558732,-0.000759685,0.000709278,-0.0495945,-0.000466455,-0.100909,0.00473203,-0.0219819,-0.00939312,-0.00628045,0.00261353,-0.00077271,-0.00143952,0.00923494,0.0048109,0.00697669,0.00113492,-0.00619786,0.000258205,-0.00935834,-0.000130357,0.00213709
1,0.8,5,20.4785,22.0058,-1.66147,34.1558,-0.00522,-0.0981,0.109,87.2,0.314492,-0.000517293,0.00081831,-0.0226986,-0.00214976,-0.100876,0.0046469,-0.0217098,-0.00675317,-0.00556517,0.0029875,0.000903521,-0.00131151,0.00741159,0.0050914,0.00699118,-0.000021,-0.00567074,0.000878562,-0.0109544,0.000022,0.00213835
